神殿騎士団に、何か用かな？ 	 If you've come for work, speak with Ser Eloin.
ひとりじゃ無理か… 	 I could use that pickaxe over here, Midlander.
おい、大丈夫か！ 	 What were you thinking, coming back out here before your wounds healed?
うう… 	 Just leave me, Sister.
家族全員… 俺を残して死んじまった… 	 They're all dead...and it was me who killed 'em!
そこの道行く、お客さん！ 「虫入りアンバー」を持ってないかい？ 皇都にはコレクターが多いんだ、いい品と交換するよ！ 	 Miss, miss! You wouldn't happen to have any amber-encased vilekin for sale, would you? No one in Ishgard will offer you a better price! I promise!
大丈夫か～？ 	 Don't look down!
資材は持ったし後は… 	 This won't be nearly enough...
すみません、まだ準備中なものでして……。 	 Be with you in a moment, madam.
どうだい、なかなかイカしてるだろ？ 	 My lads have outdone themselves this time!
自信作……そう言ってもいいデキだ。 	 This's one of our best works, . No doubt about it.
最高にイカしてるッス！ 	 Isn't she a beauty?
反体制派なら、神殿騎士の目から逃れようとするはず。 だからこそ、日ごろの警備体制について、 聞いておこうと思ってね。 	 I doubt they would be so careless as to be caught out by the Temple Knights. Nevertheless, it is only prudent that we ask.
密かに勉強してきた「マンダヴィル流交渉術」で、 情報を集めまくるでっす！ 	 At first, I had trouble getting to know people, but with a little effort─and a lot of parley─I've managed to make lots of friends!
フッフ～ン！　この髪型、どうでっす？ 自作の衣装に合うように整えてみまっした。 看板娘として、日々、精進でっす！ 	 What do you think of my hair, ? Goes well with my garb, does it not? Oh, and did I mention that I made the garb myself? Because I did! Hee hee!
お客さんから、靴の贈り物をもらっちゃいまっした。 この道で生きていけそうな予感でっすが、 情報収集の方が大切でっす！ 	 A customer gifted me with a lovely pair of shoes. For the briefest of moments, I entertained the thought of making a living of this, but in the end, my true calling is with the Scions!
知り合いになったお婆ちゃんから、 お裁縫の指導を受けることになりまっした。 フフフ……マイスタータタルも遠くないでっす！ 	 Weaving is far more difficult than I imagined! But just you wait─I'll be a specialist before you know it!
さすがに、徹夜作業の連続はしんどいぜ。 俺も「オッサン」になったってことか？ ……おい、少しは否定してくれよ。 	 Gods above, I can't work through the night as easily as I used to. Must be getting old. Ahem. ...That's when you say, “You're not that old, Cid.”
ひと針、ひと針に、想いを込めるんだよ、嬢ちゃん。 どうか無事でありますようにと……。 それが針仕事ってもんさね。 	 Repeat after me: over, under, around, and through. Over, under, around, and through...
1番ボルトよし、2番、3番…… ……い、いま、話しかけないでほしいッス！ 	 ...Rivet eight, check. Rivet nine, check. Rivet ten, ch─ Hm? If you could just let me finish this, I'll be with you in a moment! Ahem. Rivet...er. Oh blast.
発想を形にしていく…… それが、技術者としての醍醐味だな。 	 Seeing your ideas take shape before you... This is why I became an engineer.
仕事終わりに作ったまかないが好評で、 お客さんにも、お料理を出すようになりまっした。 特製薬茶とロフタンシチューがオススメでっす！ 	 I made some supper for the tavern workers, and they liked it so much they put it on the menu! Might I suggest the dawn tea and loaghtan stew?
フンフ　フンフ　フーン。 みーわくの　おーどりーで　こーころ　まーどわすー。 あーらたーな　げーぼくーが　うーま、れるのー。 - みつぎもーの　もーらって　ざっくざく！ げーぼくーが　はーたらーく　らっくらく！ フンフ　フンフ　フフーン。 	 'Tis love! 'Tis love!♪ All-powerful, shining loooooove!♪
やってらんねぇぜ～ 	 You'll see me a knight afore you see me swing a sledge.
早く直さないとな！ 	 Why do I even bother? It will only be demolished again in the next raid...
おかえりなさいでっす！ 神殿騎士団の本部に行かなくても、 良いのでっすか？ 	 Oh, it's you, ! I appreciate you coming by, but shouldn't you be at the Congregation? That's where the others are gathering, no?
ううう…凍える… 	 It's colder than a dragon's stare out there!
重い…！ 何が入ってるんだ！？ 	 “Lift with the legs,” she said. Bah!
僕が雲霧街を守るんだ！ 	 I have the watch!
ムム、怪しい奴… 	 Hmm... Odd little bugger...
く、くそう… 震えが止まらない… 	 The Fury aid me... I cannot stop shaking...
皇都に残る家族のため 必ず守りきる！ 	 Come, then, you fiends! I'll not let my family burn!
亡くなったあの子のためにも 俺ができることは… 	 I have to carry on. My little angel would expect me to.
まずは補修箇所の選定を… 	 Where to start? Let's see now...
この石材は まだ使えそうかな…？ 	 This stone should still serve well...
大きくえぐられた部分は どうやって直すべきか… 	 How do I even begin to repair this?
そっちの足場は組み途中だ！ 気をつけろよ！ 	 Take care around the scaffold!
下を見ちゃダメだ 下を見ちゃダメだ… 	 Don't look down... Don't look down...
補修用の石材は まだ届かないのか？ 	 The new building materials still haven't arrived?
もうまもなくだと思うぜ 	 Any moment now, I reckon...
手に職をつけたい人や、飛空艇の技術に興味がある人が、 毎日のように話を聞きにきてくれています！ もしかして英雄様も、興味がありますか？ 	 Well met, friend! I'm pleased to say that we've seen no end of aspiring machinists looking to apprentice here. Say, you wouldn't happen to be interested yourself, would you?
祭器による騒動が落ち着いて以来、 神殿騎士の名誉は回復されてきております。 - もちろん、たとえ信頼を得られなかったとしても、 それで我々の盾が鈍ることはありえません。 迷わず己の身を投げ出して、民を護ることでしょう。 - 護り手とは、自らが信じるものを護るべし…… そう教えていただきましたから。 あなたと、テントーワ殿にね。 	 With the threat of the artifact gone, I am pleased to say the reputation of the Temple Knights has recovered. - Of course, our reputation is a distant second to our duty. Even if we were disparaged, our shields would yet stand strong, and we would give our very bodies to the protection of Ishgard's people. - A guardian must protect what he believes in. A lesson well taught by you and Master Tentoawa.
