お客さん遅いわね… 商品が枯れちゃうわ 	 At this rate, these flowers will wilt before the customer picks them up...
おお、さん！ ここのところ、休みなしで活動をされていると伺いましたが、 疲れなどは出ていませんか？ - ちょうど今、クルトゥネと、 ほかに何か手伝えることがないかと話し合っていたのです。 我々にできることがあれば、遠慮なくおっしゃってください！ 	 ! We heard you've been busy of late. I hope you manage to find a moment's respite before duty comes calling again.  - Coultenet and I were just discussing what more we can do to help. If anything should come to mind, please don't hesitate to ask.
ほかの「暁」の面々には、私たちやタタルさんから、 適宜こちらの状況を伝えています。 - 皆、終末が拡大した際に迅速に対応できるよう、 各地に散って待機しているのですよ。 何も起きずに終わるのが、いちばんではありますがね。 	 Tataru, Hoary, and I continue to do what we can to keep our brothers- and sisters-in-arms abreast of emergencies as they unfold. - They are ready to take action at a moment's notice, but I pray we have no need to call them to the fray.
あ～、アンタも休憩中～？ オイラは、大事な役目を任されてるんだけど、 準備ができるまで待機してるのさぁ～。 - それにしても、オールド・シャーレアンは、 珍しいものでいっぱいだぁ～。 市場もクガネとは全然違ってて、驚いてたところだよぉ～。 	 You too have found yourself idle, my friend? - If you seek to occupy your time until the ark is ready, you needn't go far. Even the markets here in Sharlayan are filled with the most wondrous of sights.
ああン……？ 別に、サボってるわけじゃないぜ。 ちょっとばかり、思索にふけっていただけだ。 - 天を往く船……そンな愉快な玩具を造っていやがるとは…… シャーレアンに、もっと早く探りを入れておくべきだったか。 研究成果を盗み出せていれば、オレが………… - おっと……気にするなよ。 オレ好みの真紅のナイスバディに改造する時間がないことを、 残念に思ってるってだけの話さ……。 	 Hm...? No, I am not neglecting my duties. Honestly, am I not allowed even a moment to myself? A genius needs time to reflect on his thoughts, you know. - The ark truly is a marvel, and I count myself fortunate having had the opportunity help build it. A pity I did not come here sooner. Oh, the things I could have done with the fruits of their research... - Not that that is any of your business, mind you. Though I suppose I could have found a way to apply that knowledge to further improvements to the ark, as well.
クエクエッ、クエッ！ - アルファも、何か感じ取っているのだろうか。 じっと空を眺めていたようだ。 	 Kweh, kweh! - Alpha seems distracted by something off in the distant heavens. You cannot help but wonder what he senses out in the sea of stars.
ガガ……ガガガ……。 - 玩具のオメガは、アルファと並んで空の彼方を見つめている。 	 <blip> <bloop> - The miniature model of Omega appears to be staring up into the sky, searching for something...
こうして海を眺めていると、探検心がうずいてきますわ。 世界に隠された「今」を見つけ出すあの高揚感、 あなたも感じてみませんこと？ 	 Gazing out upon the ocean like this sets my adventurous spirit ablaze... Myriad wonders are simply waiting to be discovered. Why not venture forth and find them?
運んでほしい荷物は まだあるからよろしくね 	 I've many and more shipments left to place, so do return as soon as you are able.
運ぶ荷はそれで終わり？ 	 Is that the last of the cargo?
うーん…次の便はまだ 来そうにないな… 	 Hm... Doesn't look like the next vessel will be arriving any time soon...
なるほど、その研究は 実に興味深いな！ 	 Fascinating! You simply must tell me more about your research.
積荷のリストは提出済みで 受付番号は… 	 The cargo list was already submitted. Let me check the registry...
長旅の友に一冊 新刊を買っていこうかと 	 Perhaps I'll buy a new tome to accompany me on my journey.
あそこのお店は行った？ 店員さん面白いよね 	 Have you visited that shop over there? The owner certainly has the gift of the gab!
グランドカンパニー・エオルゼアや東方連合、 それに各地で待機しているリオルさんたちに、 燃える空の拡大を警戒してもらっているわ。 - 何か動きがあったとしても、 どうにか、みんなで対処してみせる。 だからあなたたちは、前へ突き進んで……！ 	 Our allies in all corners of the world stand at the ready in the event any new threats should arise. - I pray the situation here does not take a turn for the worse, but we will do what we can here. So please─defeat Meteion and return to us safely.
さん！ ど、ど、ど、どうかしたんでっすか！？ 具合が悪くなって、戻ってきちゃったとか……！？ - ち、違うんでっすね……よかったでっす……。 引き続き、くれぐれもお気をつけくださいと、 みなさんにもお伝えくださいまっせ……！ 	 !? What are you doing? Gods, has something happened to the others? - No... No, I'm sure they're all right. When you return to Ultima Thule, tell the others I said to be careful out there.
すごいぞ、本物の アルフィノ先輩だ！ 	 It's Alphinaud himself, in the flesh!
お会いできて光栄ですッ 	 He spoke to me! He actually spoke to me!
あらあら、まあまあ！ あなたが、ひとりで訪ねてきてくれるなんて。 お茶はいかが？　それともお食事の方がいい……？ - ……アルフィノがね、天の果てから戻って以来、 前よりもこまめに手紙を寄越してくれるの。 きっと、心配かけたことを気にしているのね。 - 元気に帰ってきてくれたら、それだけで十分なのだけど…… フルシュノさんが、眉根を寄せながら読んでいるのを見ると、 つい楽しみにもなってしまうのよ！ 	 ! How good of you to come. Would you care for a cup of tea, or perhaps a light snack? ...No? - Just as well. I've no doubt there is yet much for you to do, as Alphinaud's letters would attest. He writes more frequently than ever these days. - Much to my surprise and delight, Fourchenault actually reads his letters now, albeit always with furrowed brow. He knows Alphinaud will be fine, but much like me, he cannot help but worry.
サリャク様の像と、この海を眺めていると、 神話学研究で凝り固まった頭がリフレッシュできるんです。 研究者も少しは外に出ないといけませんね。 	 Whenever I want for inspiration, I like to come here to gaze at the Scholar and the sea. It never fails to clear the mind and give me new perspectives from which to tackle my research into mythology.
あんたは、ガレマルドで会った者だな？ フン、フルシュノとやらに、そそのかされて移住してみたが、 やはりロクなもんじゃなかったぞ。 - 魔導列車もなければ、ラジオもないのだぞ？ これでは引退などしておれん。 やれやれ、この街の技術水準を高めるのは骨が折れそうだ。 	 Ah, I remember you. We met in Garlemald, yes? Fourchenault convinced us to come here to Sharlayan, but it's not at all what I expected. - Uncivilized is not quite the word for it, but they've not even trains for transit or radios for communication. There is much that needs to be improved here.
あんたはあのときの……。 わしらはこの国で何不自由なく暮らせているよ。 魔導技術に興味を持つ学生から、講義を頼まれたりもしているんだ。 - 仲間は愚痴を言いながらも、 本当のところ、この街が気に入ったみたいだ。 専門知識を持つ者には、種族に関わらず敬意を示してくれるからね。 	 You're Fourchenault's acquaintance. , was it? Life has certainly taken a turn for the better since coming here, and the people have taken quite an interest in magitek. - The others are wont to complain about this or that, but in truth, they're quite enamored with Sharlayan as well. We all share a common interest in the pursuit of knowledge.
オスモンくんてね、私のこと「うるさい」って言うわりに、 なんだかんだで、一緒に行動してくれてるのよね～。 - まあ、読書で目が疲れがちの彼には、私の薬茶が不可欠だし、 私は私で、彼の豊富な知識を頼ってたし……。 持ちつ持たれつな関係、ってヤツなの！ 	 For all he calls me his “tormentor,” Osmon and I do work well together. - My herbal poultices soothe his book-weary eyes, and I benefit from his nigh-encyclopedic knowledge on...well, damn near everything. It's a symbiotic relationship!
特別な商品を用意してお待ちしてますので、 「変則依頼」のお仕事、がんばってくださいね。 	 I have a special range of goods on offer for our “odd job” contributors. The historic artifacts you are like to find are of far more interest to us than ordinary gil.
あら、あなたも来たのね。 あいにくだけど、再び第十三世界に渡る手法については、 まだ具体的な進展はないわ。 - ゴルベーザという妖異の企みを阻止するため、 そして次元跳躍の理論構築のためにも必ず成功させるわ。 もう少しだけ、時間を頂戴。 	 Ah, . I'm afraid you've come too soon─my research has yet to yield fruit. - But rest assured I will find a way. To secure a means to traverse the rift to other worlds, and put an end to Golbez's scheme.
レポリットがラジオで放送していた、 天の果てでのレース実況……聞きました？ - 果たしてあれは、実際に遠い宙の向こうで開催されたのか、 それとも、レポリットたちが生み出した空想上の物語なのか…… ラジオ愛好家のあいだでも、意見がわかれているんですよ。 	 Might I ask your opinion on the “Hyper Hustle” broadcast? The radio aficionado community is abuzz with debate. - Did such fantastical events truly transpire? Are the Loporrits trying to pull one over on us? What is a “Grebuloff”? I cannot say for certain, but I do know that everyone else is wrong.
やあ、君も休暇中といったところかい？ それとも、お母様に用事かな？ - こうして我が家に帰ってくると、 なおさらガレマルドの皆のことを思わずにはいられないんだ。 彼らが温かい家で過ごせるために……できることを考えないとね。 	 Enjoying a hard-earned rest, I trust? ...Don't tell me Mother has called on you for business. - I'll not deny it is good to be home, but it would be a lie to say Garlemald and her people do not yet weigh on my mind. Surely, there is something more we can do ensure their warmth and comfort.
ラザハンの宴はどうだった？ 私もサベネア島の人たちに会いたかったけど、 またの機会にしたわ。 - 久々に一家団欒のときを過ごしたかったからね。 お父様もあなたとはちゃんと話をしたいって言ってたし、 今度正式に招待させてちょうだい。 	 How was the banquet? A pity I couldn't go with you─it would have been good to see everyone. - Even so, I've enjoyed my time here with Mother and Father. Speaking of which, he's expressed an interest in sitting down with you, so don't be surprised to receive a formal invitation from him in future.
どうした、なにか聞いておきたいことでもあるのか？ 近いうちに長い船旅に出るんだ、 焦らなくても話す時間はいくらでもあるだろう。 - 必要な品はこっちで調達しておく。 おたくは心の準備だけしておいてくれればいい。 	 I've no doubt there is much you wish to know about Tural, but there will be plenty of time to answer your questions on the journey there. - I will see to our supplies. All you need do is be patient─it will be time to depart before you know it.
本当はエオルゼアの方にも行ってみたいんだけど、 さすがにそこまでのんびりしてる余裕はねぇ。 せめて、シャーレアンだけでもじっくり見ておきたくてさ。 - 学術都市って言いながらも、 結構いい装備がたくさん売ってるなぁ～！ そこの大繁盛商店ってところの品も、なかなかだ！ 	 A shame we have to leave to Tural so soon. I would've loved to visit Eorzea, or at the very least see more of Sharlayan. - What I have seen is pretty impressive, though. I wasn't expecting a city of scholars to carry such impressive arms in their shops.
トラル大陸へ行く日がくるとは思ってもいなかったよ。 「継承の儀」に参加させてもらう以上、 足を引っ張らないようにしなくてはね。 - それに、向こうで得る貴重な経験は、 きっとガレマルドの人々のために役立つはずだ。 この「休暇」を、最大限実りのあるものにしよう！ 	 Never did I imagine that I might travel to Tural, much less be involved in a contest to decide its new ruler. I shall do all in my power to see that Wuk Lamat succeeds. - And in so doing, I expect I will learn a great deal that will be of help to Jullus and his people. I can think of no better way to make the most of my time away from Garlemald.
宇宙の果てまで行ってるっていうのに、 見知らぬ土地への冒険は、やっぱりワクワクしちゃうわね。 - 私もクルルに負けないように鍛錬してるから、 向こうでの活躍、期待してなさいよ！ 	 Is it strange that, after traveling to the literal edge of existence, a simple journey across the ocean has me so excited? - In any case, after hearing of Krile's exploits on the Isle of Haam, it seems I have my work cut out for me if I'm to keep up.
バルデシオン委員会の活動記録の中に、 トラル大陸のことは一切残されていなかったの。 手がかりは、例の手紙と一緒に保管されていた耳飾りだけ。 - これを現地の人に見せれば、 おじいちゃんのことも、何か掴めるかもしれない。 そう考えて、こうして身に着けてみたのよ。 	 The only clues I have to Grandfather's business in Tural are his letter and the earring he enclosed with it. - I thought perhaps if I wear it, and someone there recognizes it, they may offer further insights as to why he was there.
装備品の追加生産に対応するかたわら、 パーラカの里の工芸品の開発も進めていかなくては。 大変ですけど、やりがいがありますよ！ 	 Preparing and distributing both our regular line of equipment and wares from Palaka's Stand is no small task, but I find it deeply fulfilling.
オレは儲け話を探してるところだ。 いざというときに手持ちの金がなくて、 あんたをサポートできないなんてことはごめんだからな。 - ウリエンジェが助言したっていう、 レポリットたちの宝物庫を探検するのも面白そうだ。 委員会の活動に支障がない範囲で、オレもいろいろがんばるよ。 	 Ah, it seems you've caught me in a rather precarious predicament. I've been pursuing new means of acquiring gil, you see. Thinking of potential endeavors we might undertake in future, it wouldn't do to find my coffers wanting at a critical juncture. - Hmmm... Perhaps I should consider the Loporrits' treasure vault that Urianger spoke of. In any case, so long as they do not interfere with my obligations to the Students of Baldesion, I intend to pursue all possible avenues.
フィルゲイムさんの顔を見ると、 無事に帰ってきたんだなぁって安心するね。 もう少し休んでいくかな……。 	 I'm relieved that you and Nazqha came back unharmed, and I can tell Fyrgeim feels the same. It'll be good to rest a while without having to fret over your safety.
ワタシは速記用魔法人形「かきとりくん」…… アナタの冒険を記録しまス。 	 My NaMe Is MeMoLiViA, aNd My DuTy Is To ReCoRd YoUr AdVeNtUrEs As CoNcIsElY aS pOsSiBlE!
