ったく… 	 That's what you said last night.
この辺りで狩れるのは、アンテロープやドーマウスだよ。 もちろん、必要な時に必要な分だけではあるが、 狩りができるってのは、ありがたいことだね。 	 Antelope and dormice abound in these parts, but we must be careful not to hunt more than befits our need. What the forest gives, it can just as easily take away.
お父さんは狩りに行っちゃったし、暇だなあ。 ねーねー、なんか面白いことなーい？ 	 My dad's off hunting, and I'm bored, bored, boooooored! Isn't there anything fun to do around here?
その昔、新しい出会いを求めて、 リムサ・ロミンサに漁師の修行に行ったことがあります。 なぜ故郷に戻ってきたかって？　察してくださいよ～。 	 Hm? Are you perchance looking to purchase fresh fish? Well, I...uh...I'm afraid I just sold the last of my stock! Very sorry, friend, but due to my reputation as a first-rate fisherwoman, my wares are quite popular!
シルフ族が南部森林まで来るなんて予想外だよ。 行方不明の長老は、いったい何を調べてたんだ……？ - ともかく、長老を見つけないことには話もできない。 君のおかげで仮宿の方は大丈夫そうだし、 今はこの周辺の捜索に注力しよう。 	 The sylphs are known to avoid the South Shroud. What could have compelled the sylph elder to come here? - But the question of motive must wait─finding him is our foremost priority. With things relatively calm over in Little Solace, we can focus our search effort on this area.
この酒場には、アタシたちもお世話になってるんだ。 南部森林の情報をいち早く掴みたければ、 バスカロンドラザーズに行け……ってね！ 	 Buscarron is a good friend of ours, and there's no place like his for the latest gossip in the South Shroud!
この大封扉の先は、第五星暦時代、 魔法文明を礎に繁栄した都市の遺跡ですが…… 霊災時に土属性の力が弱まり、腐り果ててしまった不浄の地……。 - 大扉を開けば、おぞましい粘菌におかされた 異様な光景がひろがり、危険な魔物が跋扈しています。 それゆえ、許可なき者の立ち入りを禁じています。 	 Beyond this great portal is a ruined city of white mages. Greatly did it prosper in the Fifth Astral Era, before it met its doom. And now, the Calamity has sapped its earth aspect. - A place of madness and horror, choked by poisonous spores and haunted by demons─none shall cross this threshold! - ...Unless, of course, they have the proper paperwork.
ともに戦いましょう！ エオルゼアのために！ 	 We fight as one! For all Eorzeans!
いったい、何処に… 	 Confound it, wherever are they hiding?
怪しげな石像は… 	 Come out, come out, wherever you are!
通れないだなんて 聞いてねぇぞ！ 	 We're going through whether you like it or not!
ちょっと、どういうこと？ 	 Stop wasting time!
双蛇党を辞したので、装備も改めました。 ケシュカさんとともに、身を粉にして、 森の脅威を打ち倒すと誓います……！ 	 Now that I'm no longer an Adder, I had no choice but to hand in my uniform. With my new garb, I'm ready to fend off forest-dwelling fiends alongside Keshkwa.
